,case_name,cl_cited_by,cl_id,usCite,usCite_cited_by
642,Buchanan v. Angelone,"set(['755846', '997691', '619618', '793666', '777232', '793211', '835910', '779945', '759707', '40768', '1059146', '995037', '1028442', '999728', '48748', '215383', '1059552', '215785', '760195', '796039', '786766', '778692', '170350', '994329', '32629', '158381', '836120', '47608', '158091', '786524', '791017', '784312', '775226', '777683', '867281', '784054', '766478', '1199674', '754239', '27250', '118330', '73177', '73176', '148718', '783657', '20737', '158044', '784041', '768459', '763772', '166515', '872990', '789710', '785282', '156000', '995468', '781520', '1012703', '783629', '1059299', '793878', '48706', '763768', '793886', '793396', '753029', '23004', '752874', '792677', '155680', '41361', '867415', '760927', '777215', '752872', '776380', '118309', '16537', '159055', '159056', '160936', '1058965', '752499', '1293', '161864', '161514', '752168', '780969', '809347', '777614', '788674', '900573', '1004534', '157247'])",set(['118164']),522 U.S. 269,"set(['528 U.S. 225', '527 U.S. 373'])"
643,Cornelius v. Nutt,"set(['818906', '772994', '186817', '211176', '700709', '516879', '778173', '504105', '714737', '780348', '583328', '502423', '492129', '497907', '506719', '478842', '455922', '618444', '209520', '528362', '537781', '1038007', '770959', '508413', '210982', '496138', '485348', '496143', '456411', '493169', '555034', '493192', '592087', '496768', '514637', '494544', '184422', '498842', '788430', '469469', '506159', '212148', '488665', '493709', '480646', '500611', '611723', '525935', '497897', '818620', '654179', '496130', '491999', '211850', '209627', '457970', '497918', '496148', '490549', '568491', '530553', '211443', '654285', '534306', '539949', '807207', '491952', '580690', '501633', '208983', '211821', '699161', '210592', '464691', '464693', '494555', '678579', '749861', '496162', '504655'])",set(['111486']),472 U.S. 648,set([])
644,"Bates v. Lee, Warden",set(['']),"set(['130015', '130006', '130004', '130005', '130011', '130010', '130013', '130007', '130012', '130014', '130008', '130009', '130016'])",538 U.S. 1061,set([])
645,Antone v. Dugger,"set(['587680', '527139', '508475', '474518', '532633', '149287', '491655', '658574', '610666', '111393', '552233', '435879', '597490', '513967', '491776', '519615', '535308', '574976', '433417', '479192', '1113311', '112573', '789925', '512598'])",set(['111096']),465 U.S. 200,"set(['499 U.S. 467', '470 U.S. 1039'])"
646,Rizzo v. Goode,"set(['604397', '398947', '364247', '727588', '369657', '1657630', '558817', '415552', '703460', '2151327', '511346', '415493', '2400888', '864341', '347420', '673156', '462512', '110959', '674126', '473008', '355515', '1075502', '659970', '792067', '372077', '545563', '684939', '398831', '1454283', '427728', '368189', '463298', '440190', '795314', '607608', '396897', '611885', '111094', '457905', '529722', '388326', '370176', '724863', '2305845', '670387', '393979', '474561', '421767', '535702', '109781', '1609968', '1201112', '566367', '499736', '1476570', '781618', '556107', '580311', '2470835', '811331', '2477623', '444467', '394086', '557986', '161659', '770648', '551877', '488569', '1528367', '773906', '2409258', '370219', '507363', '109621', '527799', '390440', '673113', '1385542', '497510', '589476', '378895', '334835', '535240', '414190', '2420658', '1657564', '350998', '378104', '498164', '533819', '490910', '2475913', '464322', '355854', '470016', '355528', '497346', '109439', '109539', '438737', '478004', '336427', '437480', '392244', '365782', '593265', '607678', '430623', '545511', '805665', '402308', '786333', '423541', '443968', '171480', '169439', '508026', '1207131', '338582', '404985', '444547', '773767', '2486016', '67746', '512840', '349947', '418022', '455940', '365443', '165047', '403836', '723759', '409672', '485032', '689899', '461311', '345112', '367118', '602048', '767175', '1466066', '202987', '658148', '110392', '799166', '1657582', '408222', '586809', '350108', '361068', '476368', '2311849', '786332', '196006', '446986', '582714', '397133', '383865', '406514', '504075', '419770', '460199', '460194', '453580', '367245', '351539', '511573', '506179', '705583', '1634596', '450763', '697696', '786174', '468115', '572698', '360426', '550303', '2474476', '459876', '814861', '353917', '344985', '820860', '2145406', '76729', '153707', '415684', '498958', '488138', '611672', '77337', '523244', '578313', '392035', '343632', '607081', '613554', '625110', '340977', '399114', '110916', '553296', '797337', '451739', '474598', '342724', '403636', '557288', '677607', '555075', '455306', '527780', '343370', '221426', '451880', '341392', '393048', '504417', '774780', '355403', '203077', '350866', '479223', '698236', '715843', '683958', '2470003', '112209', '811817', '2467666', '581233', '452994', '403411', '2473401', '570863', '580713', '515784', '1451323', '657872', '385769', '498211', '454823', '454822', '653735', '343585', '447979', '409367', '558887', '348313', '714017', '581070', '429221', '775291', '697974', '336083', '74867', '2470502', '536244', '584196', '439259', '362299', '424100', '1805740', '553852', '686699', '368435', '605228', '514780', '336393', '586391', '341509', '375652', '110798', '111258', '396312', '112747', '422127', '1493988', '425216', '796683', '476738', '1291548', '2176452', '110478', '110573', '2475238', '403388', '2372847', '349293', '77102', '443992', '2475940', '343412', '351935', '449706', '692807', '2668', '433589', '358968', '457134', '437572', '334747', '463379', '441652', '388444', '4753', '1450468', '718696', '448201', '699535', '541974', '484760', '602089', '1050401', '1323649', '382303', '586359', '363949', '2113553', '746565', '606344', '357906', '371436', '2469796', '459360', '451646', '396198', '660200', '429376', '440448', '400070', '1237208', '2486077', '594763', '532023', '218858', '499041', '2185009', '165382', '409611', '110589', '558946', '373434', '499448', '333941', '473636', '478738', '112291', '622584', '412059', '2472157', '739713', '558801', '412718', '559047', '604333', '468784', '380054', '2371932', '793843', '386087', '693042', '355911', '358241', '507835', '161588', '376989', '718710', '372588', '552781', '415414', '661734', '2180837', '447017', '665462', '111148', '501877', '481969', '405331', '443256', '547483', '333136', '349561', '552438', '2473142', '429773', '992596', '503094', '504472', '368473', '2308248', '109881', '64049', '349363', '605369', '457788', '356177', '374947', '380367', '345729', '578169', '1459188', '383562', '195893', '378096', '354361', '2432173', '359657', '343468', '392883', '110782', '354223', '397263', '186179', '352425', '424798', '198330', '485470', '1810093', '513940', '347581', '508846', '593373', '433483', '109428', '109540', '548359', '699135', '409582', '373035', '1155949', '110635', '409343', '508405', '351568', '350583', '174622', '536506', '368858', '704517', '348652', '336244', '109728', '776026', '533252', '158503', '557309', '416454', '744598', '489887', '1153789', '363598', '110132', '475326', '514390', '1184962', '665601', '480385', '455959', '668114', '335182', '1455683', '609212', '6238', '693879', '350964', '1451653', '735727'])",set(['109349']),423 U.S. 362,"set(['425 U.S. 284', '451 U.S. 527', '428 U.S. 433', '458 U.S. 375', '428 U.S. 465', '453 U.S. 1308', '462 U.S. 213', '454 U.S. 312', '443 U.S. 137', '433 U.S. 406', '491 U.S. 1', '454 U.S. 1304', '466 U.S. 210', '449 U.S. 934', '489 U.S. 378', '434 U.S. 931', '425 U.S. 536', '458 U.S. 886', '436 U.S. 658', '465 U.S. 89', '468 U.S. 737', '430 U.S. 327', '461 U.S. 95', '504 U.S. 555'])"
647,"Jimmy Lee Gray v. Eddie Lucas, Warden","set(['1119860', '1155755', '474838', '471016', '797785', '759722', '509221', '1044089', '1111120', '532772', '463566', '1087693', '534883', '698344', '112726', '1121390', '713093', '552830', '543608', '653677', '498968', '461072', '1162582', '567102', '1205036', '1129530', '1116448', '1189096', '607887', '498934', '594773', '698335', '8858', '145817', '881842', '1150904'])",set(['111029']),463 U.S. 1237,"set(['526 U.S. 115', '128 S. Ct. 1520', '503 U.S. 653'])"
648,"International Longshoremen's Association v. Allied International, Inc.","set(['110761', '77078', '196233', '484932', '1174804', '511546', '437446', '666935', '18301', '110995', '429184', '2620272', '471747', '474875', '112356', '494617', '665811', '518734', '216185', '452959', '419214', '110798', '701263', '471879', '475519', '758019', '697243', '6409', '481039', '675815', '591016', '220597'])",set(['110696']),456 U.S. 212,"set(['463 U.S. 147', '458 U.S. 886', '457 U.S. 702', '493 U.S. 411'])"
649,City of Lakewood v. Plain Dealer Publishing Co.,"set(['1026176', '779470', '684427', '166266', '777032', '748809', '76371', '571261', '768307', '795700', '712979', '782452', '797443', '778597', '1200244', '600783', '74651', '796676', '785403', '558084', '771109', '210053', '535705', '147216', '524995', '508802', '801431', '1189957', '75735', '1158474', '689501', '74900', '118387', '797233', '204835', '599115', '77366', '784503', '784377', '74650', '219205', '786682', '71051', '153865', '1202677', '222206', '664896', '612500', '785253', '793699', '776520', '150551', '112348', '788610', '1160806', '64148', '512975', '76936', '574960', '698664', '28157', '758802', '752941', '45213', '768917', '780914', '738549', '76638', '150477', '856022', '749304', '150479', '1192986', '781664', '777530', '775136', '698964', '767856', '74541', '727269', '801706', '74540', '186151', '159097', '773405', '2664', '714867', '774351', '777482', '607944', '511844', '681155', '732386', '758813', '169830', '203570', '587352', '793228', '205428', '510021', '784887', '606680', '50212', '699093', '560516', '566460', '763594', '810712', '775141', '776976', '198744', '774091', '787551', '779875', '27011', '801836', '49966', '770557', '148685', '112767', '195088', '747669', '784599', '797622', '152445', '175055', '539926', '1059323', '754618', '148197', '579474', '586857', '729693', '797644', '1190112', '112141', '162185', '771396', '613771', '782413', '781345', '76085', '726158', '778494', '845584', '866564', '708223', '720726', '155604', '112315', '727314', '717563', '780518', '707519', '73697', '704030', '749816', '76252', '767519', '564357', '657360', '74901', '779233', '613801', '76448', '169939', '782488', '769778', '807765', '793011', '201681', '779659', '669707', '563745', '572649', '736233', '658542', '76831', '656566', '772290', '697242', '761696', '697240', '779854', '766632', '762203', '772518', '778416', '722484', '798015', '50001', '175010', '203074', '175875', '806353', '787235', '743923', '677807', '162958', '15380', '71050', '76557', '168212', '199869', '787978', '770686', '150536', '773680', '775878', '754214', '664749', '765228', '49956', '689941', '767961', '560380', '628623', '627433', '784855', '793765', '859233', '1025597', '791917', '217093', '159190', '524346', '739936', '604842', '755833', '195018', '795206', '118240', '684090', '723831', '741157', '535262', '183875', '792900', '197784', '181261', '782539', '784644', '790471', '112836', '559531', '199554', '654597', '222090', '760137', '782341', '767324', '161267', '778880', '778768', '769166', '76760', '789160', '791689', '764117', '789272', '762772', '794639', '157558', '1205098', '796201', '621973', '739945', '73696', '775510', '203036', '210423', '602426'])",set(['112103']),486 U.S. 750,"set(['487 U.S. 781', '493 U.S. 215', '524 U.S. 569', '507 U.S. 410', '530 U.S. 914', '505 U.S. 123', '491 U.S. 781'])"
650,United Building & Constr. Trades Council of Camden Cty. v. Mayor and Council of Camden,"set(['151960', '505506', '751755', '111363', '462317', '1037757', '500359', '550100', '606039', '775136', '706058', '758338', '677003', '586359', '112117', '185984', '566834', '795260', '584289', '483871', '510635', '821111', '454323', '112486', '532126', '111729', '71984', '783814', '484714', '490548', '450808', '739309', '1131605', '151666', '621913', '496268', '198529', '615160', '162368', '795211', '111189', '762125', '623374', '790250', '1115312', '866022', '452152'])",set(['111097']),465 U.S. 208,"set(['487 U.S. 59', '477 U.S. 556', '470 U.S. 274', '467 U.S. 82', '497 U.S. 720'])"
651,Buster Franklin Merrell v. United States,"set(['586591', '479013', '507451', '611303', '594716', '498066', '484702', '504691', '705457', '474812', '724861', '680700', '493205', '663410', '705157', '460028', '112746', '566826', '509509', '460027'])",set(['111028']),463 U.S. 1230,set(['504 U.S. 527'])
652,Lewis v. United States,"set(['25352', '821167', '613134', '787858', '771779', '767075', '805171', '202227', '766618', '223658', '156223', '118227', '180408', '1038228', '767636', '779400', '71516', '44542', '2702', '899673', '767730', '858087', '754559', '788704', '845744', '351', '173488', '164466'])",set(['118183']),523 U.S. 155,set(['524 U.S. 184'])
653,Colorado v. Bertine,"set(['147727', '1027907', '879608', '883095', '525639', '163791', '112412', '772838', '1001667', '797725', '503123', '677515', '673847', '1113451', '2091', '7116', '6088', '791302', '516479', '669077', '792505', '869697', '765858', '512701', '866916', '760182', '656578', '729239', '880871', '744383', '597478', '202190', '112219', '793185', '723194', '1079773', '588724', '186948', '547048', '112448', '161', '568506', '989421', '760837', '55339', '205120', '1060268', '1027615', '656661', '748875', '1035248', '698164', '528511', '620465', '118036', '577682', '1148776', '540933', '1124431', '688724', '6440', '759364', '1003547', '608150', '622641', '796571', '896156', '596490', '2550', '155156', '729781', '201272', '526497', '784231', '792023', '169316', '563786', '600796', '1131415', '575838', '153282', '526819', '1002547', '492064', '795796', '507432', '1158373', '723976', '552255', '516010', '822774', '991419', '601405', '175283', '802485', '666561', '222409', '660949', '987102', '721356', '853818', '724910', '721372', '707152', '525625', '516433', '788754', '118391', '159090', '516419', '1096094', '1179446', '613686', '765890', '1062066', '541993', '163709', '564849', '1039416', '741548', '558566', '1107798', '560585', '691697', '202887', '688078', '767456', '780355', '734586', '853344', '557219', '534235', '689566', '496803', '587355', '1057451', '577094', '199815', '498394', '1107886', '196225', '696616', '553228', '1123044', '18447', '799940', '868770', '868891', '112608', '1158307', '204890', '163972', '605658', '1086894', '175302', '13569', '1205050', '688665', '700966', '167203', '505859', '1161805', '771302', '111851', '527881', '1190989', '786783', '1170794', '719983', '758098', '614498', '1009503', '627767', '865959', '1041145', '553367', '614401', '758828', '658579', '861215', '1000146', '529390', '16716', '784232', '604592', '855554', '763778', '858350', '563753', '761259', '814566', '534533', '498395', '892860', '775404', '508517', '181934', '173100', '1203368', '1031087', '186070', '1003814', '1160544', '485675', '745769', '22954', '783097', '1160541', '858506', '553750', '625829', '815430', '552669', '585668', '799122', '748373', '1041259', '657118', '782898', '67658', '797384', '747498', '569253', '525839', '728040', '718084', '538544', '667826', '195160', '44984', '1170803', '1130295', '1011982', '496615', '585853', '202791', '215252', '786450', '1150168', '504461', '56253', '1134215', '736298', '579164', '770650', '1032392', '156873', '868638', '766353', '692622', '560369', '585914', '776810', '112220', '540141', '154528', '759566', '571124', '165818', '783430', '769576', '902305', '195255', '559890', '1122542', '781556', '662481', '853398', '629368', '827985', '577177', '1095147', '571092', '799516', '486563', '516458', '557878', '588130', '654982', '65824', '598540', '179428', '1008015', '515470', '186011', '773449', '1036065', '552404', '183740', '664946', '746257', '597197', '786133', '200645', '712271', '1135960', '160265', '1140064', '681973', '1201613', '682140', '726635', '545251', '527897', '53171', '1192480', '857919', '162942', '663439', '1069425', '853141', '880100', '1154772', '1160907', '714019', '600741', '783391', '1199749', '490176', '1101104', '598488', '13570', '731030', '521938', '146349', '600405', '896378', '615898', '521917', '1140019', '493275', '762147', '666907', '661763'])",set(['111788']),479 U.S. 367,"set(['489 U.S. 602', '517 U.S. 806', '495 U.S. 1', '480 U.S. 709', '500 U.S. 565', '496 U.S. 128', '531 U.S. 32', '489 U.S. 656'])"
654,"Rowland v. California Men's Colony, Unit II Men's Advisory Council","set(['62545', '654205', '620664', '212385', '23591', '789692', '145120', '810452', '797209', '1006364', '856245', '1003080', '772150', '770357', '76001', '619535', '173865', '786232', '791268', '873119', '797733', '818624', '945957', '23593', '806435', '796760', '771054', '599279', '806650', '1015239', '791651', '779809', '797228', '187459', '145907', '770885', '1015828', '748555', '945730', '1197905', '994499', '36040', '1086544', '202512', '1024142', '1040966', '811428', '818485', '152028', '787681', '714210', '182235', '810028', '2673', '153972', '785802', '172198', '71953', '818307', '792285', '787995', '35974', '899823', '733252', '620414', '165790', '815088', '47922', '762441', '618301', '612498', '211230', '781231', '186745', '808303', '36493', '793863', '821280', '23261', '209852', '1085448', '774858', '172435', '754114', '1195816', '1029051', '612998', '800705', '160832', '625862', '856580', '167719', '625673', '1019433', '790843', '26716', '168352'])",set(['112802']),506 U.S. 194,"set(['555 U.S. 129', '534 U.S. 438'])"
655,Burke v. Barnes,"set(['565306', '683156', '531006', '45213', '776759', '112884', '614446', '705145', '540897', '77371', '517017', '198747', '489390', '614072', '761297', '223636', '548914', '789342', '184932', '1040988', '559010', '681319', '111891', '186696', '486492', '66447', '111967', '159043', '770692', '822721', '1032019', '663009', '488676', '510229', '793917', '994901', '537755', '77366', '565099', '682043', '799639', '170253', '1035588', '557844', '750856', '185077', '491583', '812909', '737421', '222779', '118093', '681320', '182962', '798070', '577096', '740242', '533632', '776189', '703984'])",set(['111787']),479 U.S. 361,"set(['520 U.S. 43', '481 U.S. 739', '484 U.S. 72', '508 U.S. 656'])"
656,Minnesota v. Olson,"set(['1058555', '628557', '167898', '620592', '782660', '1003396', '1058715', '215382', '624956', '787953', '550646', '710947', '590902', '572169', '789856', '48742', '781579', '196071', '805648', '790396', '172874', '667985', '5270', '583157', '541733', '796720', '864341', '555884', '77969', '1042861', '776532', '553398', '997622', '1053811', '618827', '784663', '1086374', '576973', '776685', '788104', '1182062', '752359', '145669', '555113', '706973', '205954', '654273', '771896', '800508', '692064', '1111506', '146274', '200734', '770537', '803314', '797432', '1046841', '550088', '607130', '890633', '1102327', '171339', '790180', '1154105', '890738', '1043749', '666881', '890538', '1086776', '77659', '218176', '787179', '612709', '1044547', '217670', '568513', '740479', '1192068', '547694', '835030', '182595', '200401', '1139201', '691964', '706009', '1161666', '800488', '165477', '773807', '601856', '557342', '184476', '852681', '571124', '787405', '174627', '794431', '768121', '1010115', '782371', '584150', '769072', '672912', '659739', '118249', '883271', '896128', '767803', '896126', '994286', '781363', '218064', '896651', '170695', '732362', '789228', '707782', '653353', '891127', '737905', '747743', '1067811', '775984', '723956', '1195215', '1169780', '692536', '5005', '672873', '565181', '709244', '205545', '28764', '570043', '895961', '1008327', '577143', '806803', '901419', '1046186', '1163261', '198221', '784192', '780748', '601859', '894228', '562636', '896646', '614793', '186167', '166746', '172806', '781854', '1026608', '771497', '680000', '585015', '779731', '582697', '743602', '775286', '795867', '794964', '781126', '1057727', '164390', '622402', '604510', '798157', '785202', '1171466', '734536', '575236', '77293', '216596', '21448', '762447', '560567', '1077602', '991420', '1077601', '593876', '21685', '592977', '739950', '184091', '1063346', '762190', '216733', '789551', '559722', '145646', '36010', '681588', '201394', '861914', '1064446', '616079', '565248', '221154', '163041', '716625', '12715', '194957', '786578', '698038', '162945', '793658', '1201963', '51440', '1029288', '6043', '783428', '1019957', '796155', '897267', '772296', '794349', '899144', '608958', '896291', '1036872', '773210', '586327', '781330', '824692', '1004991', '46885', '6756', '890676', '901238', '9332', '1061125', '589648', '164778', '774301', '775686', '785295', '784866', '545083', '744522', '569380', '791049', '772986', '624978', '835199', '561394', '1083095', '750084', '784457', '593316', '622029', '896288', '541796', '890587', '171851', '676728', '161201', '74369', '1044133', '763246', '670729', '1040986', '743859', '222313', '1176041', '766421', '220504', '171661', '754758', '1063086', '1063083', '700990', '861527', '1063659', '551268', '73555', '1002207', '73556', '1072466', '1073596', '112448', '881292', '779561', '856903', '74370', '784248', '578048', '866282', '664044', '702587', '606103', '184651', '902016', '772238', '545151', '203617', '668574', '201770', '888350', '689596', '748200', '795278', '1044597', '1133429', '794160', '1152351', '554960'])",set(['112416']),495 U.S. 91,"set(['525 U.S. 83', '547 U.S. 103', '547 U.S. 586', '496 U.S. 128'])"
657,Baldwin v. Reese,"set(['64787', '855123', '856641', '794559', '618936', '808511', '808512', '150322', '202724', '217300', '53035', '213363', '172832', '614373', '858086', '858085', '173659', '788465', '59193', '789426', '2494', '808189', '785712', '788972', '183148', '203587', '794837', '44682', '789907', '183479', '820895', '77026', '789027', '147959', '1031221', '66887', '801699', '1086259', '788517', '801924', '178732', '145883', '147061', '790284', '174174', '179399', '183326', '789238', '789647', '812435', '729', '812450', '801822', '1085964', '1036781', '175541', '844147', '1031369', '1023749', '61330', '798768', '797924', '895543', '1880', '55320', '792383', '788949', '223535', '59059', '1035282', '146273', '222324', '206343', '786459', '204162', '218667', '858040', '63774', '4394', '39521', '149954', '791857', '789280', '856780', '807561', '68603', '202600', '821529', '804687', '786865', '793916', '618129', '137744', '137745', '815384', '786028', '793770', '612721', '169588', '69083', '223414', '178453', '855939', '218483', '47506'])",set(['134723']),541 U.S. 27,"set(['543 U.S. 447', '543 U.S. 440'])"
658,Burks v. Lasker,"set(['2115616', '375929', '112927', '110415', '413379', '610271', '110322', '186784', '110245', '411654', '818343', '223618', '856510', '434929', '933696', '380042', '605251', '1009614', '170511', '1363164', '776749', '432042', '374806', '453225', '384757', '2456047', '391381', '110819', '118219', '497304', '788508', '384354', '117895', '1373496', '1157247', '374674', '1023807', '1957195', '550097', '378271', '186714', '398205', '479185', '389209', '110154', '791883', '745362', '215751', '789787', '410938', '396563', '2641852', '2473466', '168152', '151741', '110942', '375366', '2693', '149215', '1360307', '2470139', '185852', '202895', '400899', '790359', '441978', '551277', '2388699', '520346', '410942', '1434347', '3257', '546970', '112587', '112538', '557993', '1959150', '772682', '515708', '771144', '553868', '173369', '383540', '622112', '169513', '367174', '369256', '401048', '410384', '740528', '545178', '399853', '421862', '152931', '368913', '186464', '430907', '502508', '795886', '791043', '111694', '1995706', '398653', '566322', '177837', '666617', '402066', '399842', '111064', '511960', '858527', '795484', '398953', '502280', '1192484', '2115338', '549799', '561305', '441613', '1724', '496207', '402427', '453338', '588109', '764403'])",set(['110072']),441 U.S. 471,"set(['524 U.S. 51', '448 U.S. 1', '498 U.S. 517', '461 U.S. 677', '444 U.S. 11', '459 U.S. 197', '510 U.S. 355', '446 U.S. 14', '464 U.S. 523', '513 U.S. 374', '500 U.S. 90', '450 U.S. 46', '476 U.S. 877'])"
659,"Application of Masaharu Homma. Homma v. Patterson Secretary of War Masaharu Homma v. Lieutenant General Wilhelm D. Styer, Commanding General, United States Army Forces, Western Pacific",set(['']),set(['104277']),327 U.S. 759,set([])
660,MacHibroda v. United States,"set(['282425', '276586', '269291', '272940', '256995', '290429', '274739', '301585', '111539', '257342', '392874', '474186', '263864', '258150', '2470348', '203826', '278203', '265763', '287386', '33927', '707736', '285106', '334761', '334760', '257549', '108758', '387202', '263917', '280367', '265466', '292301', '272830', '553879', '1452872', '277168', '1064', '358612', '364751', '285583', '283872', '262733', '289251', '308883', '308882', '289996', '330530', '281938', '288643', '756235', '268882', '260189', '338302', '297365', '674653', '571760', '284860', '300175', '257604', '599444', '502547', '789725', '2443785', '262554', '1062850', '338371', '319368', '261127', '461047', '613742', '780597', '352509', '324433', '989870', '334544', '279485', '265525', '278340', '292299', '261074', '1467321', '608958', '463259', '427561', '459046', '287297', '315724', '274341', '559064', '293960', '528891', '273509', '271454', '334048', '284317', '312306', '262674', '437724', '292867', '292866', '517059', '262678', '450729', '1450709', '305505', '257432', '284002', '724325', '292636', '257991', '270398', '409689', '2414168', '75897', '2178284', '303234', '678818', '393825', '108138', '758296', '108137', '216249', '263178', '166846', '199164', '461225', '349944', '343307', '258837', '270577', '295771', '259420', '282151', '2471692', '319082', '1034089', '257201', '307036', '257654', '988484', '262829', '295079', '271271', '2484022', '295070', '282538', '263850', '282534', '283395', '107951', '107957', '298270', '724635', '107892', '341358', '273398', '276118', '692959', '262183', '262622', '291076', '292823', '310811', '360238', '1014686', '463350', '382360', '291179', '300508', '299018', '268171', '106612', '574353', '196016', '676044', '542854', '295483', '507171', '271026', '271755', '276873', '312234', '162844', '773526', '349508', '336474', '324085', '265632', '445618', '284355', '281949', '164710', '737158', '549057', '477825', '185309', '157854', '259505', '281092', '597521', '759588', '321912', '109492', '358576', '565875', '297280', '323740', '329738', '565872', '318504', '289666', '289664', '679055', '293109', '273740', '1040089', '303604', '1914', '272349', '269152', '291426', '261457', '335998', '475850', '273697', '274175', '106591', '111343', '712478', '295736', '462627', '266547', '266546', '272619', '291135', '288909', '368398', '261066', '360895', '544741', '296828', '279576', '388418', '433521', '263800', '108927', '992711', '330120', '292529', '360306', '292503', '220832', '314241', '437716', '507826', '306104', '284465', '265993', '410430', '271090', '280387', '376699', '108684', '440376', '286489', '291593', '291594', '162930', '330188', '312361', '414396', '262908', '315357', '479891', '287941', '107542', '2467330', '294358', '349575', '349577', '344914', '366428', '293880', '263208', '572765', '289054', '331594', '108215', '290968', '258480', '773253', '267587', '577038', '655791', '511731', '537728', '302064', '300404', '265392', '443993', '276287', '265661', '259841', '503710', '615293', '360226', '278005', '281816', '287136', '277646', '687166', '108139', '303381', '317236', '556391', '614100', '1083904', '202344', '19777', '272925', '276413', '33971', '393999', '108416', '280324', '316331', '386114', '754239', '197753', '156477', '291393', '297163', '488526', '362826', '293216', '257531', '582283', '296230', '280553', '481709', '272510', '341797', '300198', '773964', '305252', '289002', '262378', '262376', '157156', '1024191', '276003', '337856', '7470', '295722', '197786', '484946', '153368', '380127', '268611', '267112', '261653', '259311', '258140', '787595', '296171', '1049480', '582305', '258504', '280771', '177015', '278133', '281925', '327143', '331299', '274539', '295571', '355912', '304024', '304026', '282865', '156771', '1248609', '529452', '507838', '310865', '289189', '154064', '457917', '273821', '515172', '584145', '107877', '308808', '332329', '260443', '403664', '359634', '273390', '486531', '273863', '263051', '525659', '293676', '109648', '322664', '13090', '291479', '301579', '310086', '2421763', '2477651', '474636', '258554', '350521', '372910', '316864', '361911', '328788', '901484', '503950', '374760', '345728', '270194', '486015', '285202', '304931', '282694', '361266', '287403', '728829', '256837', '680410', '374306', '318298', '269175', '1033377', '261042', '261047', '397265', '516013', '294002', '364164', '556380', '353168', '405056', '388435', '580261', '772050', '712557', '321209', '311567', '331005', '448214', '692307', '785953', '290122', '260564', '748834', '305587', '259170', '284034', '386044', '305638', '287211', '461307', '728070', '294121', '108531', '289215', '289211', '300048', '284247', '268329', '288072', '656859', '595152', '595478', '302886', '267241', '111330', '265569', '525629', '266662', '336162', '406838', '294182', '276038', '516509', '32840', '333956'])",set(['106335']),368 U.S. 487,"set(['400 U.S. 25', '414 U.S. 932', '397 U.S. 759', '409 U.S. 959', '469 U.S. 1043', '389 U.S. 128', '474 U.S. 52', '397 U.S. 742', '395 U.S. 327', '394 U.S. 286', '469 U.S. 1166', '373 U.S. 334', '394 U.S. 459', '373 U.S. 1', '426 U.S. 637', '395 U.S. 238', '404 U.S. 257', '397 U.S. 790', '431 U.S. 63', '406 U.S. 250', '411 U.S. 213'])"
